report_reference,report_term,current_path,original_platform_or_export_name,description,keep_reason
"Section 6.4.3","Ridge additional run using same selected multipliers","1. ridge_regression/comparison_models/2. additional_run_with_same_multipliers/","A3_Ridge_additional_run_with_same_multipliers","Supporting Ridge comparison output from an additional run with the same selected multiplier combinations. It is included to support reproducibility checks and Section 6.4.3.","Folder name describes the report role while preserving detailed run files."
"Section 6.4.3","MLP supporting comparison model trained with hard-cap rows","2. mlp/comparison_models/1. descriptor_standardized_with_hard_cap_data/","B2_Final_MLP_used_in_report_descriptor_standardized_with_hard_capped_data","Supporting MLP comparison output where hard-cap rows were included as penalty rows. It is discussed in Section 6.4.3 and was not the final selected MLP model.","Original descriptor-standardized wording is preserved because it describes the model input preprocessing used by the export."
"Sections 4.2.2-4.2.4, 6.2","Offline pipeline source snapshot","1. ridge_regression/source_data/offline_pipeline/pipeline_55776ebd244e.json","pipeline_55776ebd244e.json","Source pipeline snapshot for offline baseline and exploration processing. It supports traceability for training-data preparation described in Sections 4.2 and 6.2.","Pipeline ID is retained because it is generated by the Bimba3D-re platform."
"Sections 4.4, 6.4","Test pipeline source snapshot","1. ridge_regression/source_data/test_pipeline/","pipeline_5df0ad97ef5a","Source pipeline snapshot for final test-project evaluation. It may contain historical records, so final report values should be read from the final CSV files.","Pipeline ID is retained because it is generated by the Bimba3D-re platform."
"Sections 6.4.1, 6.4.2; Interactive results platform","5,000-iteration preview renders","1. ridge_regression/best_lowest_5000_previews/ and 2. mlp/best_lowest_5000_previews/","best_lowest_5000_previews","Preview images and metadata for representative best and lowest improvement cases at the 5,000-iteration checkpoint.","Folder names reflect how the visual cases were selected for results communication."
"Sections 4.2, 4.4, 6.4.4; Appendix 3E","7,000-iteration Ridge checkpoint results","1. ridge_regression/7000_step_ridge_run/","pipeline_a745b178abfd","Separate export comparing baseline and Ridge model-selected runs up to the 7,000-iteration checkpoint. It supports Section 6.4.4 and Appendix 3E.","Kept separate so the main 5,000-iteration experiment remains distinct from the extended checkpoint check."
"Appendix 3E","Checkpoint comparison table","1. ridge_regression/7000_step_ridge_run/attachment_3e_checkpoint_comparison_ascii.csv","attachment_3e_checkpoint_comparison_ascii.csv","Report-ready checkpoint comparison table for baseline and Ridge model-selected runs. The ASCII version avoids formatting issues when opened in common spreadsheet/text tools.","Filename matches the earlier attachment-style export name; report terminology is Appendix 3E."
"Section 6.4.4","Checkpoint metrics by training step","1. ridge_regression/7000_step_ridge_run/eval_metrics_by_checkpoint.csv","eval_metrics_by_checkpoint.csv","Long-format checkpoint metrics at 1,000-step intervals for baseline and Ridge model-selected runs.","Kept as a machine-readable source for Appendix 3E and chart generation."
"Section 6.5.2; Interactive results visualization platform","Static 3DGS viewer files","splats_test/","RAD files generated from selected splat checkpoints","Chunked RAD files and manifests for selected baseline and model-selected 3DGS checkpoints used by the separate interactive results visualization platform.","RAD chunk names must remain stable because the static viewer loads them by manifest and URL."
"Submission convenience","Zipped lightweight outputs","output_lite.zip","output_lite.zip","Archive of the lightweight output folder. It excludes large images and heavy binary files.","Provided for convenient sharing where upload size is limited."
